match_id,bookmaker,score_a,score_b,decimal_odds
M001,MarketOne,0,0,12.0
M001,MarketOne,1,0,6.0
M001,MarketOne,1,1,7.0
M001,MarketOne,2,0,8.0
M001,MarketOne,2,1,9.0
M001,MarketOne,0,1,13.0
M001,MarketTwo,0,0,11.5
M001,MarketTwo,1,0,5.8
M001,MarketTwo,1,1,6.8
M001,MarketTwo,2,0,7.8
M001,MarketTwo,2,1,8.8
M001,MarketTwo,0,1,12.5
M002,MarketOne,0,0,10.0
M002,MarketOne,1,0,10.0
M002,MarketOne,1,1,6.0
M002,MarketOne,0,1,9.0
M002,MarketOne,1,2,11.0
M002,MarketOne,0,2,14.0
M002,MarketTwo,0,0,9.8
M002,MarketTwo,1,0,9.8
M002,MarketTwo,1,1,5.8
M002,MarketTwo,0,1,8.8
M002,MarketTwo,1,2,10.5
M002,MarketTwo,0,2,13.5
