match_id,bookmaker,score_a,score_b,decimal_odds
WC001,MarketOne,0,0,12.0
WC001,MarketOne,1,0,6.0
WC001,MarketOne,1,1,7.0
WC001,MarketOne,2,0,8.0
WC001,MarketOne,2,1,9.0
WC001,MarketOne,0,1,13.0
WC001,MarketTwo,0,0,11.5
WC001,MarketTwo,1,0,5.8
WC001,MarketTwo,1,1,6.8
WC001,MarketTwo,2,0,7.8
WC001,MarketTwo,2,1,8.8
WC001,MarketTwo,0,1,12.5
WC002,MarketOne,0,0,10.0
WC002,MarketOne,1,0,7.0
WC002,MarketOne,1,1,6.5
WC002,MarketOne,2,0,9.0
WC002,MarketOne,2,1,9.5
WC002,MarketOne,0,1,13.0
WC002,MarketTwo,0,0,9.8
WC002,MarketTwo,1,0,6.8
WC002,MarketTwo,1,1,6.3
WC002,MarketTwo,2,0,8.8
WC002,MarketTwo,2,1,9.3
WC002,MarketTwo,0,1,12.8
