calibration_target,count,predicted_probability_mean,realised_frequency,calibration_error
favourite,29,0.3862965974622352,0.3448275862068966,0.04146901125533864
favourite,29,0.4782915926682637,0.4482758620689655,0.030015730599298185
favourite,28,0.5511440687622062,0.6428571428571429,-0.09171307409493668
favourite,29,0.6418904101115084,0.5862068965517241,0.05568351355978429
favourite,29,0.7679799118008748,0.7241379310344828,0.04384198076639201
draw,29,0.1550821457326593,0.13793103448275862,0.01715111124990068
draw,29,0.22262793769077072,0.1724137931034483,0.05021414458732243
draw,28,0.2586044850054547,0.21428571428571427,0.044318770719740413
draw,29,0.28089138976182115,0.2413793103448276,0.039512079416993556
draw,29,0.30983972263245085,0.20689655172413793,0.10294317090831293
underdog,29,0.07483837611782376,0.13793103448275862,-0.06309265836493486
underdog,29,0.131668326183116,0.2413793103448276,-0.1097109841617116
underdog,28,0.18548236742648813,0.14285714285714285,0.04262522456934528
underdog,29,0.2401596216215538,0.3448275862068966,-0.10466796458534278
underdog,29,0.3150385960294678,0.41379310344827586,-0.09875450741880804
